,Country,Year,MRDT_Female,MRDT_Male,MRDT_Total
2839,IRL,1979,6.741313014431652,6.799910539694256,6.83343210912912
2840,IRL,1980,6.560112239549074,6.566538333230513,6.617870212874483
2841,IRL,1981,6.675257559713549,6.6362895826627,6.700934169197946
2842,IRL,1982,6.626381657196173,6.829778307126389,6.826770585121912
2843,IRL,1983,6.474150152115454,6.514388408637535,6.555812169600998
2844,IRL,1984,6.482895168939543,6.653126030285984,6.655670233475278
2845,IRL,1985,6.673303416645285,6.568140484095538,6.664269727191183
2846,IRL,1986,6.426189513600181,6.400057934942652,6.458150077402607
2847,IRL,1987,6.5592919372496725,6.58540434598261,6.638144463355137
2848,IRL,1988,6.6700483784698905,6.255322982572943,6.465522693922747
2849,IRL,1989,6.348285451961565,6.790085997868349,6.679975383465425
2850,IRL,1990,6.675508618147723,6.564549435163284,6.657044986791328
2851,IRL,1991,6.818640504681003,6.872469518666519,6.922709142893569
2852,IRL,1992,6.637299056268443,6.862285713084203,6.838894850021529
2853,IRL,1993,6.812661259108757,6.728874968901805,6.811065027487216
2854,IRL,1994,6.5748797386485975,6.988501973805297,6.888126823356017
2855,IRL,1995,6.980341987951782,7.169357963971493,7.131993004291157
2856,IRL,1996,6.886539222780438,7.237697967237088,7.153259178747317
2857,IRL,1997,6.976215808815486,7.227202217717733,7.191676337509505
2858,IRL,1998,7.221538737230848,7.338286776188979,7.335373987652299
2859,IRL,1999,6.77943603502059,7.4141446774512145,7.227744008534579
2860,IRL,2000,7.364317220052764,7.804138560278961,7.67828990619
2861,IRL,2001,7.475427760581493,7.72594436504911,7.6808491486124115
2862,IRL,2002,7.490878963154077,7.820420133211697,7.729636599679287
2863,IRL,2003,6.901622719067699,7.592846848007957,7.376985788163077
2864,IRL,2004,7.3811734966467935,7.853953834124071,7.705138877660002
2865,IRL,2005,7.073460252182587,7.835086679953067,7.62730993217903
2866,IRL,2006,7.092938383311075,7.907622486397411,7.643979360740247
2867,IRL,2007,7.483577138241695,7.8571137710929975,7.747583254298474
2868,IRL,2008,7.445982287977537,8.084814687368485,7.903902737603144
2869,IRL,2009,7.6943874557577985,8.483604106894111,8.219382205543413
2870,IRL,2010,7.31334249899429,8.291618760134616,7.936930936954445
2871,IRL,2011,7.421345151324118,8.361770085098348,8.050319153705605
2872,IRL,2012,7.445374506119216,8.32421643393518,8.014657709467386
2873,IRL,2013,7.12521054786395,8.148464434168453,7.757305820751311
2874,IRL,2014,7.156972352506363,8.083577633420193,7.731632852400563
2875,IRL,2015,7.323543836420225,7.88817633876147,7.668794699220051
2876,IRL,2016,7.211278322801448,7.912703750355849,7.646199800121414
2877,IRL,2017,7.380270971898314,8.11466865780924,7.824337757234451
2878,IRL,2018,7.823381325224965,7.902848167965853,7.896263354729564
2879,IRL,2019,7.6277844092315465,7.925948863488513,7.815443891991874
2880,IRL,2020,7.4036678425730384,8.280014602862757,7.971574528100509
2881,ISL,1838,13.212804393503058,12.313260232638083,12.879368427840088
2882,ISL,1839,11.789752980742383,17.107832324848108,14.781057942379789
2883,ISL,1840,13.703007745173805,16.756297525147478,15.038351489969408
2884,ISL,1841,13.200437678966606,15.620304746512414,14.252996873657576
2885,ISL,1842,15.68566012866713,17.907416685799888,17.23347430430568
2886,ISL,1843,10.993732881063982,13.787829034512004,12.059015231331966
2887,ISL,1844,17.656673544967543,27.200043615335712,21.405692236669836
2888,ISL,1845,17.38970246994166,11.962773595597142,14.407318219060773
2889,ISL,1846,10.269378063020485,10.756327164007693,10.467679621422413
2890,ISL,1847,20.936960383100512,28.08610739219037,24.715897308526127
2891,ISL,1848,13.348035960730474,16.174620679392632,14.525372553419741
2892,ISL,1849,12.653089666037836,13.521252663512168,13.376607412039974
2893,ISL,1850,13.56544221677643,13.993465475569336,14.144468795894543
2894,ISL,1851,15.645564679460927,9.666087029831385,12.324738113575252
2895,ISL,1852,13.566208461607491,11.213253178464356,12.34669531747871
2896,ISL,1853,9.563955967029672,13.40111585708103,11.575833467097572
2897,ISL,1854,16.934738680805623,19.462981434252843,18.672776878126662
2898,ISL,1855,10.985422329808458,10.682013784148042,10.87434417826009
2899,ISL,1856,11.049402658967889,16.243284033597526,13.826658232033907
2900,ISL,1857,16.183298378645635,15.97623864684766,16.545168600266337
2901,ISL,1858,13.668696104627989,14.46773242559564,14.130135082113991
2902,ISL,1859,12.88137092722701,12.825318934973021,13.0238304020594
2903,ISL,1860,13.737627199182464,15.28290776020979,14.77555094793545
2904,ISL,1861,16.639730180595325,16.15465202302658,16.694644543969556
2905,ISL,1862,11.136871850525303,12.273949134224784,11.789148821870338
2906,ISL,1863,11.61082156323957,13.695340332871073,13.16921626883529
2907,ISL,1864,12.017265864825266,19.902463792972853,15.838475375019007
2908,ISL,1865,12.757116813219115,13.468344076637921,13.339549039114276
2909,ISL,1866,10.641781802608818,10.953426509995586,10.921134492542595
2910,ISL,1867,15.846535157381535,16.098743339176657,16.18393056041001
2911,ISL,1868,12.33876405708761,18.15166477749426,15.23078822312847
2912,ISL,1869,11.716455354215643,13.947180391555808,12.992103077929999
2913,ISL,1870,11.466888039880287,15.636551665938587,13.764520846239256
2914,ISL,1871,13.89090657408441,14.043682535946946,14.303604455252874
2915,ISL,1872,14.245965810045274,15.295534208091569,15.322763710312948
2916,ISL,1873,15.266074892046465,14.292222912088707,14.841608750141875
2917,ISL,1874,15.162136316726844,17.391133154571992,16.59509152962543
2918,ISL,1875,17.153577499879713,17.84078500539506,17.485705808120983
2919,ISL,1876,16.52824421001844,17.799716312627986,17.141753275845986
2920,ISL,1877,17.570554921883247,17.476334350054625,17.685451609439422
2921,ISL,1878,12.298315935403018,15.315478346032213,13.703087374633924
2922,ISL,1879,15.194885559518584,14.035973360299977,15.071876324921915
2923,ISL,1880,14.808121348680272,13.67869738252595,14.476958327262574
2924,ISL,1881,18.81799517591271,17.885900629784114,18.37357949369863
2925,ISL,1882,28.553134019843302,26.129369703703524,27.65576528120671
2926,ISL,1883,13.67662547369152,17.400049334972795,16.002236189153447
2927,ISL,1884,17.259980518912638,15.688248333697741,16.33456770804591
2928,ISL,1885,13.833395242743395,15.302688151357197,15.264593659235
2929,ISL,1886,14.276038624924904,14.568171382615258,14.427038075994709
2930,ISL,1887,12.019280166428025,14.993436803667768,13.89635818875647
2931,ISL,1888,15.42558847015455,12.552596457784272,13.980268071235367
2932,ISL,1889,13.445106276933531,12.920935738598974,13.085333563144784
2933,ISL,1890,10.117965332601937,12.352661897412128,11.172648175501637
2934,ISL,1891,17.6923855583775,9.451090407569426,13.18578741250236
2935,ISL,1892,12.35913986699572,14.845688729969428,13.354075006369653
2936,ISL,1893,11.381966188270264,12.651073799726282,12.219390735430249
2937,ISL,1894,11.575491493977262,12.900254669595293,12.394382417884325
2938,ISL,1895,11.94713001191243,12.826524890924581,12.510639494246675
2939,ISL,1896,12.749403644517285,13.265672579668157,13.743716448992233
2940,ISL,1897,14.506181241930257,19.545014470121266,17.327049987642866
2941,ISL,1898,15.030792866517897,14.74330221433097,14.96320289524302
2942,ISL,1899,16.6811055703898,12.95747556783109,14.723023397267031
2943,ISL,1900,11.664740123500861,13.437710093007727,12.828580824429505
2944,ISL,1901,12.725024592570165,15.887265415124062,15.109576896696494
2945,ISL,1902,11.52293024388513,11.501681220168395,11.709415437481303
2946,ISL,1903,13.43937061299628,12.252740103129597,13.021611736933673
2947,ISL,1904,13.166441059329994,15.001766102909706,14.268473087725589
2948,ISL,1905,11.997546759549103,11.373303272822692,11.786329732069062
2949,ISL,1906,14.71280514650592,15.3080428110131,15.475925148654369
2950,ISL,1907,15.1638506488856,16.628610462127256,16.14693469188857
2951,ISL,1908,11.429163336718656,13.944548469640678,13.016628390089318
2952,ISL,1909,12.865943772992226,12.642944162514134,12.994792512489495
2953,ISL,1910,16.723471276398016,13.4466960330709,15.018798703863538
2954,ISL,1911,20.414186453573198,12.930785854425125,16.32884029906844
2955,ISL,1912,17.786010444317224,20.26840851721311,19.219297089938696
2956,ISL,1913,12.760909145294747,13.073885348658717,13.00545587012281
2957,ISL,1914,12.202693102311697,15.30539286199648,14.122563076301049
2958,ISL,1915,15.58172892345814,15.212217699890832,15.61709718082023
2959,ISL,1916,13.330120696557255,14.011615904890158,13.958628202902844
2960,ISL,1917,15.934142218082497,14.894730369257923,15.340740976646817
2961,ISL,1918,33.575669099082965,28.292724637067145,30.868848180573032
2962,ISL,1919,15.830100400344532,15.030167259948515,15.763259040154393
2963,ISL,1920,15.388558093388319,16.14266056168392,15.921959617279633
2964,ISL,1921,14.435183068699835,14.537504796032419,14.773220348026573
2965,ISL,1922,12.621035989693214,13.733049450560511,13.658678015786002
2966,ISL,1923,13.484058762346278,13.23443491207493,13.69911541578205
2967,ISL,1924,15.87279274209793,14.677805894853995,15.50608281709908
2968,ISL,1925,17.082570932292636,18.53537912258285,18.133852608173925
2969,ISL,1926,16.017164256475716,14.519014126027159,15.733561812792894
2970,ISL,1927,16.96765180387449,15.547900814961785,16.354996011407586
2971,ISL,1928,16.914622972027992,12.434105784505578,14.499981184712869
2972,ISL,1929,16.08620448261222,15.961489040734977,16.15566212876772
2973,ISL,1930,16.509911038780036,16.16542269856557,16.776567435353247
2974,ISL,1931,15.05123535607268,13.048643000251227,14.118614876397825
2975,ISL,1932,14.413771546134585,13.2878439455037,14.236908659500676
2976,ISL,1933,17.838088509914044,17.102186093784912,17.7546804715324
2977,ISL,1934,14.161505389460963,11.601792446206426,12.675064942902889
2978,ISL,1935,15.658452909648368,11.073665401257799,13.2142031768469
2979,ISL,1936,14.255443659231563,17.03422466053087,16.253898716963587
2980,ISL,1937,12.431073605008795,9.78301042202114,11.15004470148015
2981,ISL,1938,11.609680469295178,11.44323349983405,11.702746767346571
2982,ISL,1939,13.208769672065777,10.190015551059613,11.586323906607113
2983,ISL,1940,12.439558835566634,13.829209822480962,13.429098699099947
2984,ISL,1941,12.977059442904665,15.186599385558262,14.573991628212301
2985,ISL,1942,11.24298753081552,15.850643435610166,14.038795317121814
2986,ISL,1943,11.339223721452143,15.535865149825371,13.479120712372497
2987,ISL,1944,13.528403066459092,10.899102118491925,12.08374306723696
2988,ISL,1945,11.271845737937387,11.178389963971396,11.382323644195727
2989,ISL,1946,11.112791985964355,14.567221712993884,13.276928411761977
2990,ISL,1947,8.191320967133343,11.712325801383631,9.990844280737795
2991,ISL,1948,11.577748123907442,12.092524984995835,11.904715056812462
2992,ISL,1949,8.543610041930885,10.265740384950679,9.67582342794182
2993,ISL,1950,10.369509561931272,10.28787995229956,10.478708356183086
2994,ISL,1951,9.238873570465524,9.852852919560386,9.577668030238778
2995,ISL,1952,8.757300196763055,10.273718089730927,9.765608470233095
2996,ISL,1953,8.581486785044495,11.896191797866337,10.606042881300793
2997,ISL,1954,7.593278117605468,10.067460967891302,9.101501723273094
2998,ISL,1955,7.949962465676882,9.612353105890532,9.107227122961032
2999,ISL,1956,10.002036647317194,8.673593080319286,9.370405897468673
3000,ISL,1957,8.725947414565438,8.399712842998111,8.598328848465336
3001,ISL,1958,8.400218799287698,8.55115520722999,8.586887173341935
3002,ISL,1959,7.916080763135167,9.327908124774652,9.323603812697668
3003,ISL,1960,6.833781752769797,9.22422742608864,8.293758474345847
3004,ISL,1961,7.712780131051482,7.937378147234157,8.004427101666606
3005,ISL,1962,9.499850069161809,10.406296853858139,10.144030735914686
3006,ISL,1963,7.9046325583177115,9.66045610144424,8.992695484241327
3007,ISL,1964,7.70742007909718,7.5457886689211975,7.714374630001579
3008,ISL,1965,9.481391461632352,8.621918153393667,8.978741815268409
3009,ISL,1966,7.857209636840883,8.172014620579139,8.204585073128294
3010,ISL,1967,8.084362391699203,8.40249565067772,8.461158508597867
3011,ISL,1968,6.825759297795852,8.827283948271386,8.208907409372804
3012,ISL,1969,8.887483247269074,8.750495960808083,8.926273532342034
3013,ISL,1970,5.788236309243467,9.028236077325799,8.238830731186976
3014,ISL,1971,9.723000469381168,8.94060226945855,9.263377216914051
3015,ISL,1972,6.509299636739739,7.441408512438908,7.183191448224183
3016,ISL,1973,8.52622055958803,10.478720947763065,9.802875782711109
3017,ISL,1974,8.54374825382246,7.736799522709481,8.179322423718842
3018,ISL,1975,7.33975196969747,8.550066081092023,8.261539527484342
3019,ISL,1976,7.4138945623544625,7.837808249415293,7.777355663621588
3020,ISL,1977,8.095003958204893,8.914329782159404,8.806313041050789
3021,ISL,1978,7.787006606728703,8.41519471624844,8.271455816130484
3022,ISL,1979,7.479429758836751,7.43411930885133,7.055934165437573
3023,ISL,1980,7.473261784721731,7.99536892900378,7.851229231162608
3024,ISL,1981,7.984803782700541,7.070560311458509,7.076479607476298
3025,ISL,1982,8.726335765408963,7.589736860162445,7.208147946238896
3026,ISL,1983,8.372107656900623,7.003892245842178,7.019607337434076
3027,ISL,1984,8.175628744021315,8.045092064701334,7.7773394186686655
3028,ISL,1985,7.657166336328156,7.754014913185626,7.222574399974263
3029,ISL,1986,10.400671391384057,7.857045408995931,7.612941063208293
3030,ISL,1987,8.05427486967378,8.064658181681471,7.66260240271471
3031,ISL,1988,7.4202188864909795,6.237506971601493,5.906708918323553
3032,ISL,1989,7.984351140351684,7.510844373207541,7.096055589975082
3033,ISL,1990,7.8355914784960135,7.116063480997339,6.777141201820964
3034,ISL,1991,7.940520071904127,6.844859295004058,6.7607337979741144
3035,ISL,1992,8.440245718254122,7.1010517784996345,7.192842035581887
3036,ISL,1993,7.866556707260773,7.359135824667783,7.199715004278231
3037,ISL,1994,7.8045500644661026,8.399992280540555,7.622279627903466
3038,ISL,1995,8.783432857729577,7.26613472932237,7.593067800517289
3039,ISL,1996,7.5003701477707185,7.138275451144887,6.708647409894845
3040,ISL,1997,7.527882187576996,7.798456651217234,7.234780275237466
3041,ISL,1998,8.907006078572339,7.499697881467231,6.935320214632154
3042,ISL,1999,7.913851726906832,7.330778517470504,6.879547605384004
3043,ISL,2000,6.729441544387152,9.050050461596964,7.636935682858404
3044,ISL,2001,7.860577403233419,7.29060465605004,6.987031207820132
3045,ISL,2002,9.44826064982952,7.82341255779988,7.815800991741715
3046,ISL,2003,8.157393276695194,7.434066211763877,6.4423506703372295
3047,ISL,2004,8.714351617133161,7.484103868049424,7.935052416664945
3048,ISL,2005,7.87183432366461,6.838381986004884,6.507954717234901
3049,ISL,2006,6.956678031278054,7.621527263934575,6.642943240482984
3050,ISL,2007,8.359493416224751,7.89773364930701,7.365472603185708
3051,ISL,2008,7.980923582363582,7.2511582927664024,6.727310344982905
3052,ISL,2009,8.624841226150371,8.541729228963579,8.32507996956972
3053,ISL,2010,8.945605004371096,9.407950842504507,8.848727473169497
3054,ISL,2011,7.470607385335146,8.720514125256427,7.8159253965359445
