Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1922   59      1862     9529.82    10987.81    20517.63
 1922   60      1862     9477.70    10947.73    20425.42
 1922   60      1861     9050.46    10480.74    19531.20
 1922   61      1861     8999.55    10435.01    19434.56
 1922   61      1860     8652.61    10042.29    18694.90
 1922   62      1860     8601.98     9998.03    18600.00
 1922   62      1859     8026.54     9305.54    17332.08
 1922   63      1859     7978.42     9247.20    17225.63
 1922   63      1858     7424.92     8482.07    15906.98
 1922   64      1858     7377.68     8400.49    15778.17
 1922   64      1857     7073.55     7975.75    15049.31
 1922   65      1857     7007.05     7850.35    14857.41
 1922   65      1856     6569.54     7475.00    14044.54
 1922   66      1856     6479.58     7391.27    13870.85
 1922   66      1855     5898.42     6836.11    12734.53
 1922   67      1855     5803.00     6720.08    12523.08
 1922   67      1854     5150.70     5958.82    11109.53
 1922   68      1854     5079.67     5848.40    10928.07
 1922   68      1853     4448.78     5055.62     9504.39
 1922   69      1853     4376.32     4986.61     9362.93
 1922   69      1852     4000.17     4440.98     8441.15
 1922   70      1852     3953.49     4366.64     8320.13
 1922   70      1851     3721.34     4083.13     7804.47
 1922   71      1851     3621.47     4006.28     7627.75
 1922   71      1850     3527.70     3818.31     7346.01
 1922   72      1850     3454.37     3739.97     7194.33
 1922   72      1849     3245.15     3435.06     6680.21
 1922   73      1849     3151.71     3311.58     6463.29
 1922   73      1848     2898.43     3013.61     5912.04
 1922   74      1848     2825.12     2909.63     5734.74
 1922   74      1847     2723.84     2665.25     5389.09
 1922   75      1847     2604.84     2560.99     5165.82
 1922   75      1846     2518.26     2387.79     4906.05
 1922   76      1846     2429.63     2257.75     4687.38
 1922   76      1845     2293.87     2215.22     4509.09
 1922   77      1845     2177.15     2131.47     4308.62
 1922   77      1844     2096.16     2041.89     4138.05
 1922   78      1844     2006.93     1912.05     3918.97
 1922   78      1843     1866.41     1711.92     3578.33
 1922   79      1843     1749.53     1605.55     3355.08
 1922   79      1842     1599.59     1493.13     3092.72
 1922   80      1842     1649.92     1504.79     3154.71
 1922   80      1841     1548.39     1404.78     2953.17
 1922   81      1841     1442.22     1300.19     2742.41
 1922   81      1840     1368.78     1277.16     2645.94
 1922   82      1840     1271.22     1173.45     2444.67
 1922   82      1839     1149.18     1068.74     2217.91
 1922   83      1839     1055.92      967.74     2023.67
 1922   83      1838      920.49      828.89     1749.38
 1922   84      1838      836.49      741.28     1577.77
 1922   84      1837      805.31      719.72     1525.03
 1922   85      1837      721.82      630.45     1352.27
 1922   85      1836      692.48      601.48     1293.96
 1922   86      1836      611.74      519.10     1130.84
 1922   86      1835      584.36      465.81     1050.17
 1922   87      1835      506.41      402.05      908.45
 1922   87      1834      473.17      383.18      856.35
 1922   88      1834      409.50      332.42      741.92
 1922   88      1833      359.22      324.59      683.81
 1922   89      1833      311.41      277.65      589.06
 1922   89      1832      277.68      249.02      526.69
 1922   90      1832      239.89      208.46      448.34
 1922   90      1831      213.34      180.50      393.84
 1922   91      1831      182.24      150.63      332.87
 1922   91      1830      164.17      139.36      303.53
 1922   92      1830      141.98      116.67      258.64
 1922   92      1829      117.35      105.37      222.72
 1922   93      1829       99.47       86.68      186.16
 1922   93      1828       87.96       72.39      160.35
 1922   94      1828       74.11       58.87      132.98
 1922   94      1827       73.14       50.51      123.65
 1922   95      1827       60.34       41.25      101.59
 1922   95      1826       50.04       38.03       88.07
 1922   96      1826       39.22       31.70       70.92
 1922   96      1825       32.31       26.62       58.93
 1922   97      1825       24.82       21.97       46.79
 1922   97      1824       18.13       14.76       32.89
 1922   98      1824       13.64       11.77       25.42
 1922   98      1823        9.81        9.39       19.20
 1922   99      1823        7.82        6.88       14.70
 1922   99      1822        7.47        7.93       15.41
 1922   100     1822        6.63        5.37       12.00
 1922   100     1821        5.30        5.58       10.88
 1922   101     1821        4.46        4.33        8.78
 1922   101     1820        4.27        5.78       10.05
 1922   102     1820        3.09        4.37        7.46
 1922   102     1819        2.35        3.77        6.12
 1922   103     1819        1.72        2.70        4.41
 1922   103     1818        1.26        1.19        2.46
 1922   104     1818        1.09        1.01        2.10
 1922   104     1817        0.64        0.69        1.33
 1922   105     1817        0.48        0.36        0.84
