Chile,  Exposures (Lexis triangle)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1994   41      1953    43871.03    41771.89    85642.91
 1994   41      1952    44688.47    42569.56    87258.04
 1994   42      1952    40625.83    38708.41    79334.23
 1994   42      1951    42463.27    39579.80    82043.07
 1994   43      1951    39559.81    36893.61    76453.42
 1994   43      1950    40171.32    39023.29    79194.61
 1994   44      1950    37650.55    36645.77    74296.32
 1994   44      1949    44310.65    42256.84    86567.49
 1994   45      1949    40879.81    39056.00    79935.81
 1994   45      1948    38410.01    36197.75    74607.75
 1994   46      1948    35620.77    33609.16    69229.92
 1994   46      1947    35738.71    33241.83    68980.54
 1994   47      1947    33697.03    31414.55    65111.58
 1994   47      1946    33874.63    31363.14    65237.77
 1994   48      1946    33748.41    31339.58    65087.98
 1994   48      1945    34150.59    32761.56    66912.14
 1994   49      1945    33965.12    32623.02    66588.14
 1994   49      1944    33516.97    31747.60    65264.57
 1994   50      1944    33280.54    31547.47    64828.01
 1994   50      1943    32147.35    30385.51    62532.86
 1994   51      1943    31993.78    30251.36    62245.14
 1994   51      1942    30789.32    28621.96    59411.27
 1994   52      1942    30701.61    28479.97    59181.58
 1994   52      1941    30283.04    27435.18    57718.22
 1994   53      1941    30191.10    27268.56    57459.66
 1994   53      1940    27731.13    26583.95    54315.08
 1994   54      1940    27565.52    26371.49    53937.01
 1994   54      1939    29688.65    27798.17    57486.82
 1994   55      1939    29526.61    27590.48    57117.09
 1994   55      1938    25597.28    23222.86    48820.13
 1994   56      1938    25524.13    23152.08    48676.21
 1994   56      1937    25166.05    22335.66    47501.71
 1994   57      1937    25149.54    22387.97    47537.51
 1994   57      1936    24416.70    21523.75    45940.46
 1994   58      1936    24624.31    21693.93    46318.24
 1994   58      1935    23093.33    21136.15    44229.49
 1994   59      1935    22985.70    20975.95    43961.64
 1994   59      1934    22369.85    20253.77    42623.62
 1994   60      1934    22278.58    20144.50    42423.07
 1994   60      1933    22150.10    19813.13    41963.23
 1994   61      1933    21894.21    19499.93    41394.14
 1994   61      1932    22621.27    19293.29    41914.56
 1994   62      1932    22310.03    19049.32    41359.35
 1994   62      1931    23565.32    19246.45    42811.78
 1994   63      1931    23273.45    19065.75    42339.20
 1994   63      1930    21530.98    19280.46    40811.44
 1994   64      1930    21387.12    19104.82    40491.94
 1994   64      1929    24157.16    20629.86    44787.02
 1994   65      1929    23939.06    20406.72    44345.78
 1994   65      1928    21412.87    18005.65    39418.51
 1994   66      1928    21224.65    17759.31    38983.96
 1994   66      1927    20583.67    17778.99    38362.67
 1994   67      1927    20306.51    17386.13    37692.63
